[2026-04-30 09:17:26] INFO    ask_my_brain | ChromaDB collection已加载: ask_my_brain
[2026-04-30 09:18:22] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\1什么是产品经理.pdf, 4622 字符
[2026-04-30 09:18:22] INFO    ask_my_brain | 文档加载完成: 1什么是产品经理.pdf, 4622 字符
[2026-04-30 09:18:24] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\2判断一件事是否值得智能化.pdf, 7655 字符
[2026-04-30 09:18:24] INFO    ask_my_brain | 文档加载完成: 2判断一件事是否值得智能化.pdf, 7655 字符
[2026-04-30 09:18:26] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\3知识库.pdf, 6524 字符
[2026-04-30 09:18:26] INFO    ask_my_brain | 文档加载完成: 3知识库.pdf, 6524 字符
[2026-04-30 09:18:28] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\4指标体系与价值口径设计.pdf, 6972 字符
[2026-04-30 09:18:28] INFO    ask_my_brain | 文档加载完成: 4指标体系与价值口径设计.pdf, 6972 字符
[2026-04-30 09:18:29] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf, 5813 字符
[2026-04-30 09:18:29] INFO    ask_my_brain | 文档加载完成: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf, 5813 字符
[2026-04-30 09:18:32] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第6节课：项目骨架的构建.pdf, 3906 字符
[2026-04-30 09:18:32] INFO    ask_my_brain | 文档加载完成: 第6节课：项目骨架的构建.pdf, 3906 字符
[2026-04-30 09:18:35] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第7节｜提示词设计的产品思维.pdf, 12406 字符
[2026-04-30 09:18:35] INFO    ask_my_brain | 文档加载完成: 第7节｜提示词设计的产品思维.pdf, 12406 字符
[2026-04-30 09:18:37] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第8节｜原型图（AI产品经理版）.pdf, 5410 字符
[2026-04-30 09:18:37] INFO    ask_my_brain | 文档加载完成: 第8节｜原型图（AI产品经理版）.pdf, 5410 字符
[2026-04-30 09:18:39] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第9节｜写出可落地的PRD.pdf, 8166 字符
[2026-04-30 09:18:39] INFO    ask_my_brain | 文档加载完成: 第9节｜写出可落地的PRD.pdf, 8166 字符
[2026-04-30 09:18:41] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第10节｜如何回答质疑(1).pdf, 8812 字符
[2026-04-30 09:18:41] INFO    ask_my_brain | 文档加载完成: 第10节｜如何回答质疑(1).pdf, 8812 字符
[2026-04-30 09:18:44] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf, 10331 字符
[2026-04-30 09:18:44] INFO    ask_my_brain | 文档加载完成: 第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf, 10331 字符
[2026-04-30 09:18:46] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf, 11189 字符
[2026-04-30 09:18:46] INFO    ask_my_brain | 文档加载完成: 第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf, 11189 字符
[2026-04-30 09:18:48] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第13节｜上线后的数据与运营.pdf, 9546 字符
[2026-04-30 09:18:48] INFO    ask_my_brain | 文档加载完成: 第13节｜上线后的数据与运营.pdf, 9546 字符
[2026-04-30 09:18:50] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第14节｜AI产品的迭代节奏.pdf, 12536 字符
[2026-04-30 09:18:50] INFO    ask_my_brain | 文档加载完成: 第14节｜AI产品的迭代节奏.pdf, 12536 字符
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 1什么是产品经理.pdf, 8 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 2判断一件事是否值得智能化.pdf, 12 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 3知识库.pdf, 11 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 4指标体系与价值口径设计.pdf, 11 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf, 9 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第6节课：项目骨架的构建.pdf, 6 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第7节｜提示词设计的产品思维.pdf, 20 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第8节｜原型图（AI产品经理版）.pdf, 9 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第9节｜写出可落地的PRD.pdf, 13 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第10节｜如何回答质疑(1).pdf, 13 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf, 17 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf, 17 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第13节｜上线后的数据与运营.pdf, 16 chunk, 语言=chinese
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 分块完成: 第14节｜AI产品的迭代节奏.pdf, 18 chunk, 语言=chinese
[2026-04-30 09:19:08] INFO    ask_my_brain | 批量分块完成: 14 篇 -> 180 chunk
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 1什么是产品经理.pdf (4622 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 2判断一件事是否值得智能化.pdf (7655 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 3知识库.pdf (6524 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 4指标体系与价值口径设计.pdf (6972 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf (5813 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第6节课：项目骨架的构建.pdf (3906 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第7节｜提示词设计的产品思维.pdf (12406 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第8节｜原型图（AI产品经理版）.pdf (5410 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第9节｜写出可落地的PRD.pdf (8166 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第10节｜如何回答质疑(1).pdf (8812 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf (10331 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf (11189 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第13节｜上线后的数据与运营.pdf (9546 字符)
[2026-04-30 09:19:08] DEBUG   ask_my_brain | 完整文档已缓存: 第14节｜AI产品的迭代节奏.pdf (12536 字符)
[2026-04-30 09:19:08] INFO    ask_my_brain | 正在加载Embedding模型: sentence-transformers/all-MiniLM-L6-v2
[2026-04-30 09:22:24] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\1什么是产品经理.pdf, 4622 字符
[2026-04-30 09:22:24] INFO    ask_my_brain | 文档加载完成: 1什么是产品经理.pdf, 4622 字符
[2026-04-30 09:22:26] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\2判断一件事是否值得智能化.pdf, 7655 字符
[2026-04-30 09:22:26] INFO    ask_my_brain | 文档加载完成: 2判断一件事是否值得智能化.pdf, 7655 字符
[2026-04-30 09:22:28] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\3知识库.pdf, 6524 字符
[2026-04-30 09:22:28] INFO    ask_my_brain | 文档加载完成: 3知识库.pdf, 6524 字符
[2026-04-30 09:22:30] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\4指标体系与价值口径设计.pdf, 6972 字符
[2026-04-30 09:22:30] INFO    ask_my_brain | 文档加载完成: 4指标体系与价值口径设计.pdf, 6972 字符
[2026-04-30 09:22:31] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf, 5813 字符
[2026-04-30 09:22:31] INFO    ask_my_brain | 文档加载完成: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf, 5813 字符
[2026-04-30 09:22:34] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第6节课：项目骨架的构建.pdf, 3906 字符
[2026-04-30 09:22:34] INFO    ask_my_brain | 文档加载完成: 第6节课：项目骨架的构建.pdf, 3906 字符
[2026-04-30 09:22:38] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第7节｜提示词设计的产品思维.pdf, 12406 字符
[2026-04-30 09:22:38] INFO    ask_my_brain | 文档加载完成: 第7节｜提示词设计的产品思维.pdf, 12406 字符
[2026-04-30 09:22:39] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第8节｜原型图（AI产品经理版）.pdf, 5410 字符
[2026-04-30 09:22:39] INFO    ask_my_brain | 文档加载完成: 第8节｜原型图（AI产品经理版）.pdf, 5410 字符
[2026-04-30 09:22:41] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第9节｜写出可落地的PRD.pdf, 8166 字符
[2026-04-30 09:22:41] INFO    ask_my_brain | 文档加载完成: 第9节｜写出可落地的PRD.pdf, 8166 字符
[2026-04-30 09:22:44] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第10节｜如何回答质疑(1).pdf, 8812 字符
[2026-04-30 09:22:44] INFO    ask_my_brain | 文档加载完成: 第10节｜如何回答质疑(1).pdf, 8812 字符
[2026-04-30 09:22:46] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf, 10331 字符
[2026-04-30 09:22:46] INFO    ask_my_brain | 文档加载完成: 第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf, 10331 字符
[2026-04-30 09:22:49] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf, 11189 字符
